profile,label,N_released,F30,median_abs_theta_deg,A_mean_cos,F(10),F(20),F(30),F(45),F(60),F(90),median_dtheta_net_deg,mean_dtheta_net_deg,median_dtheta_cum_deg,mean_dtheta_cum_deg
neutral_resolved,No DLVO,1990,0.20351758793969849,67.82583212780875,0.2274587828549564,0.06633165829145729,0.12412060301507538,0.20351758793969849,0.32663316582914576,0.44170854271356785,0.6321608040201006,nan,nan,nan,nan
unfavorable_6mM_z70,"6 mM, -70 mV",1778,0.21203599550056243,69.39499558700072,0.22336013182494335,0.06467941507311586,0.1265466816647919,0.21203599550056243,0.3250843644544432,0.4409448818897638,0.6361079865016873,4.330415930868037,6.161497648118825,39.26262400992427,55.16101898699038
unfavorable_20mM_z70,"20 mM, -70 mV",1759,0.2785673678226265,55.0832293322399,0.36298459718859427,0.106878908470722,0.19783968163729393,0.2785673678226265,0.4144400227401933,0.5252984650369528,0.7305287094940307,12.28031771858901,16.79659877294616,106.97668390612029,143.03928437424108
unfavorable_50mM_z70,"50 mM, -70 mV",1773,0.59278059785674,16.578964485545846,0.6919903070210942,0.42865200225606315,0.5335589396503102,0.59278059785674,0.6830231246474902,0.7580372250423012,0.8973491257755217,53.425459391171245,60.37436627844341,549.8499560129308,725.3766282286722
unfavorable_100mM_z70,"100 mM, -70 mV",1711,0.9403857393337229,0.3388297147855283,0.9582677340335058,0.9210987726475746,0.9351256575102279,0.9403857393337229,0.9526592635885447,0.9643483343074225,0.988895382817066,110.07969977925485,101.48666082297302,6248.021487711294,8909.789946908724
unfavorable_50mM_z50,"50 mM, -50 mV",1758,0.6530147895335608,9.273816682924007,0.7422119179694522,0.5062571103526735,0.59613196814562,0.6530147895335608,0.7315130830489193,0.7929465301478953,0.9197952218430034,61.80351755350968,67.37977938445107,688.7297532580287,921.17600365355
unfavorable_50mM_z30,"50 mM, -30 mV",1738,0.739355581127733,2.2392125513004437,0.8123487601241718,0.6369390103567318,0.6985040276179517,0.739355581127733,0.806674338319908,0.8504027617951668,0.9459148446490219,75.92078711192727,78.94058254328716,1100.3419702105266,1502.5207465559104
unfavorable_100mM_z30,"100 mM, -30 mV",1257,0.9824980111376292,0.28625731068958826,0.9877104659318469,0.9769291964996022,0.9809069212410502,0.9824980111376292,0.9872712808273667,0.9888623707239459,0.9952267303102625,113.02711377307655,103.83717083153358,21465.940368443535,24411.07220236737
unfavorable_50mM_z70_100xD,"50 mM, -70 mV, 100x D",15221,0.1841534721765981,82.59345895353874,0.08236314845454883,0.0594573286906248,0.12226529137375994,0.1841534721765981,0.2730438210367256,0.3630510478943565,0.5454963537218317,0.13170082321637447,0.18492100227679814,14.22369335496698,18.66103515059783
