alpha_deg,neutral_resolved,unfavorable_6mM_z70,unfavorable_20mM_z70,unfavorable_50mM_z70,unfavorable_100mM_z70,unfavorable_50mM_z50,unfavorable_50mM_z30,unfavorable_100mM_z30,unfavorable_50mM_z70_100xD
65,0.47789,0.46963,0.55145,0.78962,0.97136,0.82196,0.87342,0.98966,0.39511
66,0.48141,0.47188,0.55600,0.79357,0.97136,0.82651,0.87629,0.98966,0.40096
67,0.48844,0.47638,0.55884,0.80034,0.97195,0.83163,0.87917,0.98966,0.40713
68,0.50050,0.48481,0.56509,0.80767,0.97253,0.83845,0.88205,0.99125,0.41259
69,0.51055,0.49606,0.58101,0.81726,0.97428,0.84983,0.88953,0.99284,0.41903
70,0.51759,0.50562,0.58954,0.82064,0.97545,0.85040,0.89183,0.99284,0.42389
71,0.52764,0.51350,0.59466,0.82685,0.97721,0.85438,0.89298,0.99284,0.43072
72,0.53065,0.51462,0.59693,0.82854,0.97721,0.85779,0.89356,0.99284,0.43637
73,0.53668,0.52531,0.60830,0.83587,0.97838,0.86405,0.89701,0.99364,0.44471
74,0.53970,0.53150,0.61285,0.84095,0.97896,0.86860,0.89931,0.99443,0.45148
75,0.54523,0.53768,0.62308,0.85166,0.97954,0.87315,0.90276,0.99443,0.45818
76,0.54824,0.54274,0.62592,0.85223,0.97954,0.87429,0.90391,0.99443,0.46350
77,0.55226,0.55287,0.64298,0.86351,0.98071,0.88623,0.91312,0.99443,0.46843
78,0.55930,0.55849,0.64866,0.86407,0.98130,0.88737,0.91427,0.99443,0.47441
79,0.56482,0.56412,0.65264,0.86464,0.98130,0.88794,0.91600,0.99523,0.47953
80,0.57136,0.57199,0.66515,0.87197,0.98305,0.89704,0.92117,0.99523,0.48591
81,0.57538,0.57762,0.66913,0.87253,0.98364,0.89932,0.92175,0.99523,0.49129
82,0.58342,0.58380,0.67538,0.87479,0.98480,0.90159,0.92348,0.99523,0.49740
83,0.58794,0.58718,0.67936,0.87874,0.98539,0.90216,0.92578,0.99523,0.50286
84,0.59246,0.59393,0.69699,0.88607,0.98656,0.91183,0.93786,0.99523,0.50936
85,0.60151,0.60180,0.70608,0.89002,0.98714,0.91354,0.94131,0.99523,0.51593
86,0.61206,0.60855,0.71120,0.89058,0.98714,0.91354,0.94246,0.99523,0.52230
87,0.61859,0.61530,0.71859,0.89227,0.98714,0.91581,0.94246,0.99523,0.52763
