label,tau_K,per_entry_mean,per_entry_median,N_e,tau_tot_mean,tau_tot_median,Lambda,net_med_rad,F30
"6 mM, -70 mV",0.06335036418651215,0.018168489054167222,0.01794639990497869,83.86164229471316,1.5238284773298898,1.0839027135057746,0.35688323670671684,0.0755800159744624,0.21203599550056243
"20 mM, -70 mV",0.2997482766809557,0.24701807985622323,0.2398905840796248,18.07504263786242,4.429058335891664,3.303983821871852,0.3639566805404252,0.21433197738037668,0.2785673678226265
"50 mM, -70 mV",2.3252464598973517,1.9817864697390728,1.8873196583881922,12.661026508742244,24.83865938907658,18.83697103006194,1.9776597739200077,0.9324501707664634,0.59278059785674
"100 mM, -70 mV",41.11394947667007,33.24855793257009,31.693489989371948,9.851548801870251,330.5828054833639,231.74869208634885,27.208674236029825,1.9212532007548724,0.9403857393337229
"50 mM, -50 mV",3.198235887990065,2.727230790299436,2.5828076823623096,11.921501706484642,31.894640901689442,23.78786422056266,2.5612686136231195,1.0786748706228546,0.6530147895335608
"50 mM, -30 mV",5.767269663533775,4.779129648036693,4.604785678396,11.012082853855006,52.96907313190822,38.727995309627175,4.266319722346212,1.3250677058088076,0.739355581127733
"100 mM, -30 mV",212.13479359423087,167.2744144950622,147.26200381193806,5.879077167859984,929.8089076272482,817.4987914726877,83.77891594930472,1.9726952793664168,0.9824980111376292
"50 mM, -70 mV, 100xD",0.0010068197941747376,0.0009686304388589173,0.0009350972392047869,10.573549701070888,0.010191197142219171,0.007725539152205573,0.0007151320238111589,0.002298612992712723,0.1841534721765981
